Month,Soybean Oil Price (US Dollars per Metric Ton),Coconut Oil Price (US Dollars per Metric Ton),"Olive Oil, extra virgin Price (US Dollars per Metric Ton)",Sunflower oil Price (US Dollars per Metric Ton),Rapeseed Oil Price (US Dollars per Metric Ton),Crude Oil (petroleum) Price (US Dollars per Barrel),Exchange Rate,Palm oil Price (US Dollars per Metric Ton)
14-Sep,851,1181,3997.12,823,828,95.85,3.217246,709
14-Oct,835,1144,3811.73,872,835,86.08,3.26845,722
14-Nov,830,1194,4065.1,892,836,76.99,3.343775,731
14-Dec,820,1217,4234.51,877,814,60.7,3.481356,693
15-Jan,802,1159,4128.51,840,775,47.11,3.578562,688
15-Feb,773,1187,4169.56,802,751,54.79,3.601646,689
15-Mar,748,1096,3933.6,801,749,52.83,3.681134,672
15-Apr,749,1080,3996.58,838,742,57.54,3.63244,662
15-May,781,1133,4305.33,904,766,62.51,3.59944,659
15-Jun,793,1131,4347.3,918,806,61.31,3.741085,671
15-Jul,751,1100,4487.72,832,786,54.34,3.799403,635
15-Aug,730,1037,5045.8,812,755,45.69,4.040398,549
15-Sep,727,1063,4986.87,815,766,46.28,4.302575,538
15-Oct,742,1108,4544.5,883,802,46.96,4.260513,583
15-Nov,726,1073,3910.36,862,790,43.11,4.31601,558
15-Dec,761,1147,3657.89,852,818,36.57,4.280724,568
16-Jan,727,1155,3976.43,846,777,29.78,4.334615,566
16-Feb,758,1216,4233.44,869,781,31.03,4.176181,640
16-Mar,761,1448,4047.26,842,768,37.34,4.068692,686
16-Apr,796,1586,4024.21,857,811,40.75,3.898413,722
16-May,791,1445,3858.02,868,808.25,45.94,4.037606,706.25
16-Jun,798,1563,3810.28,851,792,47.69,4.077233,683
16-Jul,788,1507,3890.98,816,763,44.13,4.017771,652
16-Aug,814,1529,3982.15,815,819,44.88,4.024339,736
16-Sep,829,1547,4073.87,823,852,45.04,4.109985,756
16-Oct,858,1463,3924.43,830,896,49.29,4.17519,716
16-Nov,880,1538,3928.02,830,899,45.26,4.349508,751
16-Dec,907,1699,3992.51,844,918,52.62,4.459945,788
17-Jan,872,1815,4152.22,817,916.5,53.59,4.456256,809
17-Feb,835,1703,4424.23,808,878,54.35,4.442564,774
17-Mar,812,1549,4434.15,783,850,50.9,4.438689,734
17-Apr,791,1580,4389.01,784,824,52.16,4.403293,685
17-May,827,1687,4635.18,797,844,49.89,4.316779,727
17-Jun,827,1697,4632.07,780,813,46.17,4.278248,677
17-Jul,835,1658.5,4323.42375,793,846,47.66,4.290019,663
17-Aug,855,1673.5625,4372.849219,806,875,49.94,4.277743,674
17-Sep,882,1670.382813,4420.391621,810,889,52.95,4.21422,724
17-Oct,867,1652.305664,4453.913074,788,889,54.92,4.229696,721
17-Nov,881,1645.968872,4457.623458,795,930,59.93,4.16812,716
17-Dec,866,1658.089981,4460.55764,787,879,61.19,4.077213,672
18-Jan,864,1667.851229,4469.501095,784,848,66.23,3.955648,677
18-Feb,842,1665.457632,4448.791232,794.25,829,63.46,3.914186,663
18-Mar,834,1661.514836,4425.881386,790,798,64.17,3.906602,681
